original_address1,latitude,longitude,housing_units,issue_date,status_current,home_flag,home_confidence,sb840_flag,sb840_confidence,sb15_flag,sb15_confidence
136 FREDERICK ST,30.23130247,-97.76171654,1,2024-02-06,Withdrawn,HOME (matched to Plan Review Case),high,,,,
613 CLIFFORD DR,30.22389668,-97.77273872,2,2024-02-07,Final,HOME (matched to Plan Review Case),high,,,,
13309 MORRIS RD BLDG 4,30.46033916,-97.76789009,2,2024-02-15,Final,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD,30.23006572,-97.71492759,2,2024-03-05,Active,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD,30.23006572,-97.71492759,2,2024-03-05,Active,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD,30.23006572,-97.71492759,2,2024-03-05,Expired,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD BLDG 14,30.23006572,-97.71492759,2,2024-03-05,Active,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD,30.23006572,-97.71492759,2,2024-03-05,Expired,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD BLDG 16,30.23006572,-97.71492759,2,2024-03-05,Active,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD,30.23006572,-97.71492759,2,2024-03-05,Active,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD,30.23006572,-97.71492759,2,2024-03-05,Expired,HOME (matched to Plan Review Case),high,,,,
1907 KENWOOD AVE,30.24012525,-97.74232395,2,2024-03-11,Withdrawn,HOME (matched to Plan Review Case),high,,,,
1813 W ST JOHNS AVE,30.34484021,-97.73124761,2,2024-03-14,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4405 MOUNT VERNON DR,30.22343041,-97.77762199,2,2024-03-22,Final,HOME (matched to Plan Review Case),high,,,,
1703 SANCHEZ ST BLDG 1,30.28025911,-97.70630285,2,2024-04-01,Expired,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
5509 WILLIAM HOLLAND AVE,30.32883202,-97.73729751,2,2024-04-02,Active,HOME (matched to Plan Review Case),high,,,,
1409 VALLEYRIDGE DR,,,2,2024-04-04,Final,HOME (matched to Plan Review Case),high,,,,
4911 DUVAL ST,30.31278513,-97.72057952,2,2024-05-07,Final,HOME (matched to Plan Review Case),high,,,,
909 VARGAS RD,,,2,2024-05-15,Final,HOME (matched to Plan Review Case),high,,,,
120 KIMBLE LN,30.24376842,-97.68564711,2,2024-05-15,Final,HOME (matched to Plan Review Case),high,,,,
1404 CEDAR AVE,30.27722004,-97.71369608,2,2024-05-17,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1703 CEDAR BEND DR,30.40772833,-97.6923991,1,2024-05-22,Final,HOME (matched to Plan Review Case),high,,,,
4907 FM 2222 RD BLDG 8,30.3482687,-97.78570518,2,2024-05-23,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2806 SAN PEDRO ST,30.29397197,-97.74589553,2,2024-05-24,Withdrawn,HOME (matched to Plan Review Case),high,,,,
2806 SAN PEDRO ST,30.29397197,-97.74589553,1,2024-05-24,Withdrawn,HOME (matched to Plan Review Case),high,,,,
1118 AZIE MORTON RD,30.25979697,-97.77193553,2,2024-06-03,Expired,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
6215 LEDGE MOUNTAIN DR,30.35066133,-97.77505966,2,2024-06-03,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
107 W JOHANNA ST,,,2,2024-06-04,Final,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD BLDG 18,30.23006572,-97.71492759,2,2024-06-05,Active,HOME (matched to Plan Review Case),high,,,,
2000 RIVERSIDE FARMS RD,30.23006572,-97.71492759,2,2024-06-05,Active,HOME (matched to Plan Review Case),high,,,,
7202 ALBERT RD,30.19720866,-97.80280594,2,2024-06-12,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2107 BRACKENRIDGE ST,30.2419401,-97.7499315,2,2024-06-17,Final,HOME (matched to Plan Review Case),high,,,,
1807 KENDRA CV,30.35915888,-97.72287224,2,2024-06-24,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3402 GOODWIN AVE,30.26895269,-97.69814724,1,2024-07-01,Final,HOME (matched to Plan Review Case),high,,,,
3402 GOODWIN AVE BLDG 2,30.26895269,-97.69814724,1,2024-07-01,Final,HOME (matched to Plan Review Case),high,,,,
3402 GOODWIN AVE,30.26895269,-97.69814724,1,2024-07-01,Final,HOME (matched to Plan Review Case),high,,,,
2611 OAK CREST AVE,30.23941508,-97.76414226,2,2024-07-02,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2503 TRAILSIDE DR,30.26053527,-97.77612655,1,2024-07-10,Expired,HOME (matched to Plan Review Case),high,,,,
5404 RAIN CREEK PKWY,30.398274,-97.7600137,2,2024-07-15,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1707 JUSTIN LN,30.34205476,-97.7300607,2,2024-07-19,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1003 E 9TH ST,,,2,2024-07-29,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4519 AVENUE F,30.30923658,-97.7263592,2,2024-07-29,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
8404 BURRELL DR,,,2,2024-07-31,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1117 BROOKSWOOD AVE,30.26492974,-97.6892428,1,2024-07-31,Final,HOME (matched to Plan Review Case),high,,,,
8404 BURRELL DR,,,2,2024-07-31,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
9005 ALDERMAN DR,30.15276867,-97.76150522,5,2024-08-01,Final,HOME (matched to Plan Review Case),high,,,,
6310 WILHELMINA DELCO DR,30.32522605,-97.70985634,1,2024-08-09,Aborted,HOME (matched to Plan Review Case),high,,,,
902 JEWELL ST,30.25173999,-97.75856182,1,2024-08-20,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
621 BISSONET LN,30.34284103,-97.7142416,2,2024-08-20,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
117 HAVANA ST,30.23201839,-97.75984142,2,2024-08-23,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1705 BRIAR ST,30.24974522,-97.75989168,1,2024-08-28,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3701 HAMPTON RD,30.29562913,-97.72561111,2,2024-08-28,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1304 ANGELINA ST,30.27424726,-97.72544405,1,2024-09-05,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1311 CASEY ST,30.22572206,-97.78179261,2,2024-09-06,Active,HOME (matched to Plan Review Case),high,,,,
6310 WILHELMINA DELCO DR,30.32522605,-97.70985634,1,2024-09-09,Final,HOME (matched to Plan Review Case),high,,,,
4312 AVENUE B,30.30887606,-97.73216981,2,2024-09-09,Expired,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1205 TAYLOR ST,30.25648788,-97.73367936,1,2024-09-19,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
7202 ALBERT RD,30.19720866,-97.80280594,2,2024-09-19,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1912 FAIRLAWN LN,30.23917512,-97.74103807,2,2024-09-22,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3202 KAY ST,30.27035114,-97.6996807,1,2024-09-23,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3301 DOLPHIN CV,30.23606302,-97.77667953,2,2024-09-23,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1402 JULIET ST,30.25841626,-97.76136189,1,2024-09-23,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2014 GATHRIGHT CV BLDG 2,30.2328034,-97.7879782,1,2024-09-24,Final,HOME (matched to Plan Review Case),high,,,,
2014 GATHRIGHT CV BLDG 1,30.2328034,-97.7879782,1,2024-09-24,Final,HOME (matched to Plan Review Case),high,,,,
85 LLANO ST,30.25210795,-97.71457062,1,2024-09-26,Expired,"HOME Phase 2 (inferred, small lot)",medium,,,,
1804 S 6TH ST,30.24929858,-97.76312533,1,2024-10-03,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3023 E 13TH ST,30.27708601,-97.70272285,1,2024-10-15,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1107 LINCOLN ST,30.26604333,-97.71898336,1,2024-10-21,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1602 WEBBERVILLE RD,,,2,2024-10-28,Active,HOME (matched to Plan Review Case),high,,,,
800 W JAMES ST,30.25348933,-97.7555594,1,2024-10-29,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2503 WESTLAKE DR,30.30553322,-97.78247497,1,2024-10-29,Final,HOME (matched to Plan Review Case),high,,,,
1607 KENWOOD AVE,30.243285,-97.74053811,1,2024-11-04,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
105 SAN MARCOS ST,30.26110817,-97.73420763,1,2024-11-04,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
906 CHRISTOPHER ST,30.25569573,-97.75668536,1,2024-11-05,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1301 E 3RD ST,,,1,2024-11-05,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
752 PEDERNALES ST,30.26295098,-97.71301233,1,2024-11-06,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1705 HETHER ST,30.251102,-97.77091167,1,2024-11-11,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
7808 KINCHEON CT,30.21787423,-97.86423283,1,2024-11-11,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1402 JULIET ST,30.25841626,-97.76136189,1,2024-11-11,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
3711 GILBERT ST,30.30130148,-97.77976272,1,2024-11-11,Final,HOME (matched to Plan Review Case),high,,,,
3711 GILBERT ST,30.30130148,-97.77976272,1,2024-11-11,Final,HOME (matched to Plan Review Case),high,,,,
1401 E 3RD ST BLDG 2,,,1,2024-11-13,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1401 E 3RD ST BLDG 1,,,1,2024-11-13,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
4600 BANISTER LN,30.22192707,-97.78291896,1,2024-11-18,Expired,HOME (matched to Plan Review Case),high,,,,
2016 SINGING BROOK,30.3036418,-97.69113951,2,2024-11-18,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2211 EAST SIDE DR BLDG 2,30.23869637,-97.74783266,2,2024-11-21,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
402 E 48TH ST,30.3112479,-97.72261504,2,2024-11-25,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4705 SARA DR,30.27102696,-97.69015948,1,2024-11-25,Active,HOME (matched to Plan Review Case),high,,,,
4705 SARA DR,30.27102696,-97.69015948,2,2024-11-25,Active,HOME (matched to Plan Review Case),high,,,,
1802 ULIT AVE,30.28026934,-97.71244398,1,2024-11-26,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2005 VISTA LN,30.29320788,-97.76520144,1,2024-11-29,Final,HOME (matched to Plan Review Case),high,,,,
2502 E 9TH ST BLDG 2,,,1,2024-12-02,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1007 CHICON ST,30.26545223,-97.7206121,1,2024-12-05,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
40 ANTHONY ST,30.2509649,-97.72459976,1,2024-12-17,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3804 BAILEY LN BLDG 1,30.30709327,-97.74573074,1,2024-12-19,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3007 OAKMONT BLVD,30.30424477,-97.75655876,1,2024-12-19,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
11301 PARDONERS TALE LN,30.15461327,-97.83097029,1,2025-01-08,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
2007 PENNSYLVANIA AVE,30.2718416,-97.71779652,1,2025-01-15,Expired,"HOME Phase 2 (inferred, small lot)",medium,,,,
1715 NASH AVE,30.25287515,-97.77045911,1,2025-01-16,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
4422 GILLIS ST,30.22480358,-97.78331806,2,2025-01-16,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4812 CASWELL AVE BLDG A,30.31020241,-97.71814521,2,2025-01-22,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
6206 LAIRD DR,30.33750877,-97.73835454,1,2025-01-23,Final,HOME (matched to Plan Review Case),high,,,,
1117 BROOKSWOOD AVE,30.26492974,-97.6892428,1,2025-01-27,Final,HOME (matched to Plan Review Case),high,,,,
4705 AVENUE F,30.31129395,-97.72487714,1,2025-02-03,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2312 E 10TH ST,30.26506707,-97.71656376,2,2025-02-04,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1030 BRICKELL LOOP,30.14997839,-97.70364405,2,2025-02-04,Final,HOME (matched to Plan Review Case),high,,,,
1030 BRICKELL LOOP,30.14997839,-97.70364405,2,2025-02-04,Final,HOME (matched to Plan Review Case),high,,,,
2611 S 5TH ST,30.23989621,-97.76577977,2,2025-02-11,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2515 GONZALES ST,30.26141092,-97.71274997,1,2025-02-12,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
4510 CASWELL AVE,30.30619462,-97.72068188,2,2025-02-18,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1708 CANTERBURY ST,30.25600821,-97.72658615,2,2025-02-18,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4900 MAJESTIC DR,30.22039842,-97.7879219,1,2025-02-24,Final,HOME (matched to Plan Review Case),high,,,,
2503 GONZALES ST,30.26155037,-97.71311371,1,2025-02-24,Expired,"HOME Phase 2 (inferred, small lot)",medium,,,,
1709 MAPLE AVE BLDG 2 UNIT A,30.27918138,-97.71573116,2,2025-02-28,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1709 MAPLE AVE BLDG 2 UNIT B,30.27918138,-97.71573116,2,2025-02-28,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4807 SINCLAIR AVE,30.32058755,-97.74156457,1,2025-03-03,Active,HOME (matched to Plan Review Case),high,,,,
1607 W 10TH ST,30.2792427,-97.76058833,1,2025-03-03,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1911 HAMILTON AVE,30.26715069,-97.71906744,1,2025-03-03,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
4801 SARA DR BLDG 2,30.27051982,-97.68984066,2,2025-03-05,Final,HOME (matched to Plan Review Case),high,,,,
4801 SARA DR BLDG 1,30.27051982,-97.68984066,2,2025-03-05,Final,HOME (matched to Plan Review Case),high,,,,
1107 OLIVE ST,30.27056305,-97.72793905,1,2025-03-06,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3705 HOLLYWOOD AVE,30.29307374,-97.71817195,1,2025-03-10,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
307 W ELIZABETH ST BLDG 1,,,1,2025-03-11,Active,HOME (matched to Plan Review Case),high,,,,
307 W ELIZABETH ST BLDG 2,,,1,2025-03-11,Active,HOME (matched to Plan Review Case),high,,,,
307 W ELIZABETH ST BLDG 3,,,1,2025-03-13,Active,HOME (matched to Plan Review Case),high,,,,
1911 HAMILTON AVE,30.26715069,-97.71906744,1,2025-03-17,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1803 WALNUT AVE,30.28019598,-97.71302589,1,2025-03-17,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
605 THERESA AVE,30.27807972,-97.76664329,1,2025-03-19,Expired,"HOME Phase 2 (inferred, small lot)",medium,,,,
919 GENE JOHNSON ST,30.30754289,-97.71424231,1,2025-03-19,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
4713 OAK CLIFF DR,30.28360805,-97.68141693,1,2025-04-01,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2103 S L DAVIS AVE,30.27086998,-97.71695147,1,2025-04-03,Final,HOME (matched to Plan Review Case),high,,,,
3701 STEVENSON AVE,30.30004668,-97.77945361,2,2025-04-08,Active,HOME (matched to Plan Review Case),high,,,,
1616 W 9TH HALF ST,30.2792412,-97.76147249,1,2025-04-09,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3102 FONTANA DR BLDG 1 UNIT 1A,30.23283458,-97.76186262,2,2025-04-10,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3102 FONTANA DR BLDG 1 UNIT 1B,30.23283458,-97.76186262,2,2025-04-10,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3701 STEVENSON AVE,30.30004668,-97.77945361,2,2025-04-10,Active,HOME (matched to Plan Review Case),high,,,,
2409 E 11TH ST BLDG 2,30.265913,-97.71596733,1,2025-04-21,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
2409 E 11TH ST BLDG 1,30.265913,-97.71596733,1,2025-04-21,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1102 CHARLOTTE ST,30.28105247,-97.76113903,1,2025-04-25,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1802 KINNEY AVE,30.25191081,-97.76872331,1,2025-04-25,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
5509 WILLIAM HOLLAND AVE,30.32883202,-97.73729751,1,2025-04-26,Final,HOME (matched to Plan Review Case),high,,,,
615 W JOHANNA ST,30.24584169,-97.75834529,1,2025-04-28,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1313 CASEY ST,30.22583049,-97.78198927,2,2025-05-05,Active,HOME (matched to Plan Review Case),high,,,,
511 BELLEVUE PL,30.29128948,-97.73334734,2,2025-05-05,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4606 BANISTER LN,30.22136534,-97.78316181,1,2025-05-06,Final,HOME (matched to Plan Review Case),high,,,,
48 WALLER ST,30.25518307,-97.73497857,1,2025-05-08,Final,HOME (matched to Plan Review Case),high,,,,
3002 E 18TH ST,30.28102204,-97.70501449,1,2025-05-09,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
6208 TASAJILLO TRL,30.19627729,-97.88748874,1,2025-05-10,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1202 BIANCA BREEZE PL,30.27616259,-97.68247072,2,2025-05-12,Active,HOME (matched to Plan Review Case),high,,,,
1203 BIANCA BREEZE PL,30.27607738,-97.68233997,2,2025-05-12,Active,HOME (matched to Plan Review Case),high,,,,
11415 1/2 ZIMMERMAN LN,,,1,2025-05-13,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
5912 HAROLD CT,,,2,2025-05-14,Active,HOME (matched to Plan Review Case),high,,,,
1400 MASON AVE,30.27650266,-97.68242336,2,2025-05-14,Active,HOME (matched to Plan Review Case),high,,,,
5912 HAROLD CT BLDG 3,,,2,2025-05-14,Expired,HOME (matched to Plan Review Case),high,,,,
2409 FOREST AVE BLDG 2,30.23955177,-97.7568437,1,2025-05-27,Expired,HOME (matched to Plan Review Case),high,,,,
2409 FOREST AVE BLDG 1,30.23955177,-97.7568437,1,2025-05-27,Expired,HOME (matched to Plan Review Case),high,,,,
